0	5	9	11	6
1	5	9	11	6
2	5	9	11	6
3	5	9	11	6
4	5	9	12	6
5	5	10	12	6
6	6	10	12	7
7	6	10	12	7
8	6	10	12	7
9	6	10	12	7
10	6	10	13	7
11	6	11	13	7
12	6	11	13	7
13	6	11	13	8
14	6	11	13	8
15	6	11	13	8
16	7	11	14	8
17	7	12	14	8
18	7	12	14	9
19	7	12	14	9
20	7	12	14	9
21	7	13	15	9
22	7	13	15	9
23	7	13	15	9
24	8	13	15	10
25	8	14	16	10
26	8	14	16	10
27	8	14	16	10
28	8	14	16	11
29	8	15	17	11
30	9	15	17	11
31	9	15	17	12
32	9	16	17	12
33	9	16	17	12
34	9	16	18	13
35	10	17	18	13
36	10	17	18	13
37	10	17	19	13
38	10	18	19	14
39	11	18	20	14
40	11	18	20	15
41	11	19	20	15
42	11	19	21	16
43	12	20	21	16
44	12	20	21	16
45	12	21	22	17
46	12	21	22	17
47	13	22	22	18
48	13	22	22	18
49	13	22	22	19
50	14	23	24	19
51	14	24	24	20
52	14	24	23	20
53	15	25	24	21
54	15	25	25	21
55	15	26	26	22
56	16	26	26	23
57	16	27	26	23
58	16	28	26	24
59	17	28	27	25
60	17	29	27	25
61	18	30	28	26
62	18	30	28	27
63	19	31	29	28
64	19	32	29	28
65	20	32	30	29
66	20	33	30	30
67	21	34	31	31
68	21	35	32	32
69	22	36	32	32
70	22	36	33	33
71	23	37	33	34
72	23	38	34	35
73	24	39	36	36
74	25	40	35	37
75	25	41	36	38
76	26	42	37	39
77	27	43	38	40
78	27	44	38	41
79	28	45	39	42
80	29	46	40	43
81	29	47	41	44
82	30	48	42	45
83	31	49	42	47
84	31	50	43	48
85	32	51	44	49
86	33	52	45	50
87	34	53	46	52
88	35	55	47	53
89	36	56	48	54
90	37	57	49	56
91	38	59	50	57
92	38	60	51	59
93	39	61	52	60
94	40	63	53	62
95	41	64	54	63
96	43	66	55	65
97	44	67	57	66
98	45	69	58	68
99	46	70	59	70
100	47	72	60	72
101	48	74	62	73
102	49	76	63	75
103	50	77	64	77
104	52	79	66	79
105	53	81	67	81
106	54	83	69	83
107	56	85	70	85
108	57	87	72	87
109	58	89	73	89
110	60	91	75	92
111	61	93	77	94
112	63	96	79	96
113	64	98	80	98
114	66	100	82	101
115	68	103	84	104
116	69	105	86	106
117	71	108	89	109
118	73	110	91	112
119	75	113	93	114
120	77	116	95	117
121	79	119	98	120
122	80	122	100	123
123	82	125	103	126
124	84	128	105	129
125	87	131	108	133
126	89	135	110	136
127	91	138	113	139
128	93	142	116	143
129	95	146	119	146
130	98	149	122	150
131	100	153	125	154
132	103	158	129	158
133	105	162	132	162
134	108	166	136	166
135	111	171	139	170
136	114	176	143	175
137	117	180	147	179
138	120	186	151	184
139	123	191	155	189
140	126	196	159	194
141	130	202	164	200
142	134	208	169	205
143	137	214	174	211
144	141	220	179	217
145	145	226	184	223
146	149	233	189	230
147	154	240	195	236
148	158	247	201	243
149	163	254	207	251
150	168	262	214	258
151	173	270	220	266
152	179	278	227	274
153	184	287	235	282
154	190	296	242	290
155	196	305	250	299
156	202	315	258	308
157	209	326	266	318
158	215	336	275	327
159	222	348	284	337
160	229	360	294	348
161	237	372	304	359
162	245	385	314	370
163	252	398	325	382
164	260	413	337	394
165	269	428	349	407
166	278	443	362	420
167	287	460	375	434
168	297	477	389	448
169	308	494	404	463
170	318	512	419	479
171	329	531	435	495
172	341	551	451	512
173	354	572	469	530
174	367	594	487	549
175	380	616	506	569
176	395	640	526	589
177	410	666	547	610
178	426	692	569	633
179	443	719	591	656
180	460	748	615	680
181	479	778	640	706
182	499	808	666	733
183	520	840	694	761
184	541	872	724	790
185	565	904	755	820
186	588	934	788	851
187	614	955	822	882
188	641	963	857	913
189	669	966	892	943
190	698	968	927	962
191	729	969	953	968
192	761	970	962	972
193	794	971	965	973
194	827	972	967	975
195	860	973	968	976
196	893	973	969	977
197	925	974	970	978
198	953	975	971	979
199	967	976	972	979
