velocidadLeft velocidadRight pwmLeft pwmRight posLeft posRight ticksSinAct
0.07067 0.08520 60 60 54 63 2
0.06996 0.08444 60 60 73 86 0
0.06974 0.08438 60 60 92 108 1
0.07106 0.08507 60 60 110 131 4
0.07116 0.08489 60 60 129 153 1
0.07082 0.08483 60 60 148 175 3
0.07152 0.08615 60 60 167 198 0
0.07136 0.08394 60 60 185 220 2
0.07060 0.08570 60 60 202 242 3
0.07131 0.08454 60 60 221 265 1
0.07091 0.08516 60 60 240 287 3
0.07093 0.08425 60 60 259 310 0
0.07157 0.08427 60 60 277 332 2
0.07096 0.08670 60 60 294 355 0
0.06965 0.08499 60 60 313 377 2
0.07123 0.08552 60 60 331 400 4
0.07001 0.08404 60 60 348 422 1
0.07024 0.08422 60 60 367 445 3
0.07160 0.08700 60 60 385 467 2
0.07035 0.08432 60 60 404 489 4
0.07098 0.08483 60 60 423 510 1
0.08740 0.08488 60 60 441 532 3
0.07138 0.08515 60 60 460 555 0
0.07073 0.08648 60 60 479 577 2
0.07167 0.08453 60 60 497 599 3
0.07132 0.08438 60 60 514 622 1
0.07113 0.08500 60 60 533 644 3
0.07141 0.08497 60 60 552 667 0
0.07236 0.08682 60 60 571 689 2
0.07099 0.08508 60 60 590 712 4
0.07103 0.08449 60 60 608 734 1
0.07205 0.08485 60 60 625 757 3
0.07051 0.08505 60 60 644 779 2
0.07083 0.08629 60 60 663 801 3
0.07168 0.08529 60 60 681 824 0
0.07090 0.08411 60 60 700 846 3
0.07071 0.08429 60 60 718 869 0
0.07177 0.08388 60 60 737 891 1
0.07050 0.08636 60 60 756 913 3
0.07087 0.08532 60 60 774 936 0
0.07194 0.08425 60 60 793 958 2
0.07055 0.08479 60 60 812 981 4
0.07084 0.08456 60 60 830 1003 1
0.07174 0.08612 60 60 847 1025 3
0.07095 0.08512 60 60 866 1048 0
0.07084 0.08400 60 60 885 1070 2
0.07201 0.08457 60 60 904 1093 4
0.07065 0.08552 60 60 922 1115 3
0.07116 0.08485 60 60 939 1138 0
0.07138 0.08472 60 60 958 1160 2
0.07173 0.08513 60 60 977 1183 4
0.07064 0.08395 60 60 996 1205 1
0.07145 0.08688 60 60 1014 1227 3
0.07079 0.08462 60 60 1033 1248 1
0.07021 0.08448 60 60 1051 1270 3
0.07101 0.08400 60 60 1068 1293 0
0.07083 0.08384 60 60 1087 1315 2
0.07045 0.08550 60 60 1105 1338 4
0.07096 0.08436 60 60 1122 1360 1
0.07079 0.08506 60 60 1141 1382 2
0.07142 0.08460 60 60 1159 1405 0
0.07121 0.08413 60 60 1176 1427 3
0.07080 0.08668 60 60 1195 1450 0
0.07125 0.08403 60 60 1214 1472 2
0.07157 0.08611 60 60 1233 1495 0
0.07167 0.08455 60 60 1251 1517 2
0.07157 0.08433 60 60 1268 1540 3
0.08691 0.08626 60 60 1285 1562 2
0.07182 0.08386 60 60 1304 1585 4
0.07056 0.08429 60 60 1323 1607 1
0.07062 0.08455 60 60 1342 1629 3
0.07142 0.08432 60 60 1360 1652 0
0.07100 0.08648 60 60 1379 1674 2
0.07038 0.08575 60 60 1398 1697 0
0.07114 0.08347 60 60 1416 1719 2
0.07033 0.08490 60 60 1435 1741 3
0.06998 0.08545 60 60 1454 1762 1
0.07109 0.08651 60 60 1472 1784 3
0.07002 0.08526 60 60 1491 1807 1
0.07074 0.08433 60 60 1510 1829 3
0.07135 0.08386 60 60 1529 1852 1
0.07006 0.08518 60 60 1547 1874 2
0.07038 0.08512 60 60 1566 1897 0
0.07119 0.08547 60 60 1585 1919 2
0.07177 0.08422 60 60 1604 1942 0
0.07098 0.08378 60 60 1623 1964 2
0.07118 0.08533 60 60 1642 1987 4
0.07113 0.08384 60 60 1660 2009 1
0.07091 0.08575 60 60 1677 2031 3
0.06993 0.08419 60 60 1696 2054 0
0.07100 0.08374 60 60 1715 2076 2
0.07076 0.08667 60 60 1733 2099 0
0.06869 0.08456 60 60 1752 2121 2
0.07096 0.08470 60 60 1771 2144 0
0.06918 0.08502 60 60 1789 2166 2
0.06995 0.08398 60 60 1808 2189 4
0.07093 0.08672 60 60 1827 2211 2
0.06962 0.08427 60 60 1845 2233 4
0.07024 0.08471 60 60 1864 2254 1
0.07093 0.08441 60 60 1883 2276 3
0.07091 0.08504 60 60 1901 2297 0
0.07089 0.08622 60 60 1918 2319 2
0.07147 0.08476 60 60 1937 2342 0
0.07067 0.08418 60 60 1956 2364 2
0.07050 0.08506 60 60 1975 2387 4
0.07216 0.08524 60 60 1994 2409 2
0.07093 0.08566 60 60 2013 2432 4
0.07136 0.08506 60 60 2031 2454 1
0.07122 0.08448 60 60 2050 2476 4
0.07009 0.08438 60 60 2069 2497 1
0.06992 0.08510 60 60 2087 2519 3
0.07054 0.08515 60 60 2104 2542 0
0.07082 0.08444 60 60 2123 2564 2
0.07075 0.08394 60 60 2141 2587 4
0.07048 0.08447 70 70 0 0 2
0.08520 0.10020 70 70 22 26 0
0.08690 0.10118 70 70 44 52 3
0.08769 0.10392 70 70 65 79 2
0.08766 0.10187 70 70 86 106 1
0.08664 0.10093 70 70 108 133 1
0.08767 0.10126 70 70 131 160 0
0.08915 0.10175 70 70 154 186 3
0.08811 0.10108 70 70 177 211 2
0.11319 0.10347 70 70 201 236 2
0.08870 0.10157 70 70 224 263 1
0.08748 0.10084 70 70 247 290 0
0.08621 0.10109 70 70 270 317 3
0.08711 0.10202 70 70 293 344 3
0.08666 0.10072 70 70 316 370 3
0.08720 0.10419 70 70 339 395 2
0.08771 0.10103 70 70 362 422 2
0.08823 0.10022 70 70 385 449 1
0.08767 0.10153 70 70 408 476 0
0.08714 0.10070 70 70 429 503 0
0.07131 0.10123 70 70 451 530 3
0.08732 0.10333 70 70 474 556 3
0.08801 0.10247 70 70 497 581 2
0.08773 0.10095 70 70 520 608 2
0.08802 0.10146 70 70 544 635 1
0.08845 0.10137 70 70 567 662 0
0.08815 0.10137 70 70 590 689 3
0.08718 0.10309 70 70 613 716 3
0.08760 0.10182 70 70 636 742 2
0.08603 0.10103 70 70 657 769 1
0.08765 0.10164 70 70 678 796 1
0.08661 0.10152 70 70 699 823 1
0.08707 0.10199 70 70 721 850 0
0.08723 0.10328 70 70 744 877 3
0.08711 0.10183 70 70 767 903 2
0.08757 0.10099 70 70 790 928 2
0.07156 0.10063 70 70 813 955 1
0.08815 0.10134 70 70 836 982 1
0.08691 0.10206 70 70 858 1009 0
0.08810 0.10138 70 70 881 1036 0
0.08855 0.10386 70 70 904 1063 0
0.08721 0.10008 70 70 927 1089 2
0.08852 0.10099 70 70 949 1116 2
0.08799 0.10154 70 70 972 1143 1
0.08727 0.10228 70 70 995 1170 0
0.08690 0.10118 70 70 1018 1197 0
0.08800 0.10171 70 70 1041 1224 3
0.08674 0.10033 70 70 1064 1250 2
0.08748 0.10094 70 70 1087 1275 3
0.08798 0.10156 70 70 1110 1302 2
0.08763 0.10164 70 70 1133 1329 1
0.08779 0.10142 70 70 1154 1356 0
0.08805 0.10507 70 70 1176 1383 0
0.08709 0.10220 70 70 1199 1410 0
0.08751 0.10076 70 70 1222 1436 3
0.08843 0.10071 70 70 1244 1461 2
0.08790 0.10175 70 70 1267 1486 2
0.08788 0.10118 70 70 1290 1513 1
0.08775 0.10390 70 70 1313 1540 1
0.08840 0.10198 70 70 1335 1567 1
0.08689 0.10055 70 70 1358 1594 0
0.08783 0.10175 70 70 1381 1621 3
0.08776 0.10132 70 70 1404 1647 2
0.08787 0.10088 70 70 1427 1672 2
0.08797 0.10360 70 70 1450 1699 1
0.08737 0.10217 70 70 1473 1726 1
0.08872 0.10098 70 70 1495 1753 0
0.08795 0.10098 70 70 1518 1780 0
0.08805 0.10213 70 70 1541 1807 3
0.08883 0.10081 70 70 1564 1833 2
0.08793 0.10397 70 70 1586 1858 3
0.08716 0.10195 70 70 1609 1883 2
0.08872 0.10094 70 70 1632 1910 1
0.08753 0.10119 70 70 1654 1937 1
0.08812 0.10134 70 70 1677 1964 1
0.08714 0.10187 70 70 1700 1991 0
0.08701 0.10324 70 70 1723 2018 3
0.08746 0.10161 70 70 1746 2044 3
0.08950 0.10113 70 70 1769 2069 2
0.08710 0.10167 70 70 1792 2096 1
0.08757 0.10126 70 70 1815 2123 1
0.11411 0.10225 70 70 1837 2150 1
0.08809 0.10128 70 70 1860 2177 0
0.08700 0.10185 70 70 1883 2204 3
0.08983 0.10013 70 70 1906 2230 2
0.08840 0.10098 70 70 1929 2255 2
0.08723 0.10155 70 70 1953 2282 1
0.08846 0.10225 70 70 1976 2309 1
0.08790 0.10094 70 70 1999 2336 1
0.08987 0.10315 70 70 2022 2363 0
0.08768 0.10129 70 70 2044 2390 3
0.08762 0.09890 70 70 2067 2417 2
0.08723 0.10061 70 70 2090 2443 3
0.08721 0.10226 70 70 2113 2468 2
0.08742 0.10123 70 70 2136 2495 1
0.08752 0.10579 70 70 2159 2522 1
0.08763 0.10190 70 70 2182 2549 0
0.08858 0.10083 70 70 2205 2576 3
0.08799 0.10416 80 80 0 0 0
0.10273 0.11675 80 80 26 29 2
0.10396 0.11837 80 80 53 60 3
0.10381 0.11828 80 80 80 90 0
0.10414 0.11829 80 80 108 121 2
0.10351 0.11795 80 80 135 153 0
0.10223 0.11847 80 80 162 184 1
0.10384 0.11844 80 80 188 215 2
0.10326 0.11833 80 80 215 245 0
0.10338 0.11865 80 80 242 276 1
0.10403 0.12089 80 80 268 308 2
0.10417 0.11987 80 80 295 339 1
0.10355 0.12058 80 80 322 370 2
0.10378 0.11761 80 80 348 400 0
0.10441 0.12091 80 80 375 431 1
0.10466 0.11817 80 80 401 463 3
0.10400 0.12092 80 80 428 494 1
0.10308 0.11848 80 80 454 526 2
0.10408 0.12094 80 80 481 557 0
0.10316 0.11728 80 80 507 588 2
0.10346 0.12146 80 80 534 618 0
0.10417 0.11800 80 80 561 649 1
0.10416 0.11929 80 80 589 681 2
0.10406 0.11864 80 80 616 712 0
0.10404 0.11910 80 80 643 743 2
0.10374 0.11765 80 80 669 773 0
0.10381 0.11969 80 80 696 804 1
0.10336 0.11774 80 80 724 836 2
0.10425 0.11626 80 80 751 867 1
0.10376 0.11841 80 80 779 899 0
0.10392 0.11965 80 80 806 930 1
0.10255 0.11880 80 80 834 961 2
0.10347 0.11993 80 80 861 991 0
0.10410 0.12044 80 80 888 1022 1
0.10400 0.11748 80 80 914 1054 2
0.10410 0.11927 80 80 941 1085 1
0.10346 0.11535 80 80 968 1117 2
0.10331 0.12058 80 80 994 1148 1
0.10451 0.11801 80 80 1021 1180 2
0.10386 0.12001 80 80 1047 1211 1
0.10332 0.11915 80 80 1074 1243 0
0.10389 0.11966 80 80 1100 1274 1
0.10423 0.11739 80 80 1127 1306 2
0.10429 0.11966 80 80 1153 1337 0
0.10332 0.11814 80 80 1180 1368 1
0.10276 0.11958 80 80 1206 1398 0
0.10311 0.11810 80 80 1233 1429 1
0.10438 0.11966 80 80 1261 1461 0
0.10392 0.11829 80 80 1288 1492 1
0.10419 0.11887 80 80 1315 1524 2
0.10325 0.11813 80 80 1341 1555 1
0.10357 0.11852 80 80 1368 1587 2
0.10467 0.11738 80 80 1396 1618 1
0.10336 0.11845 80 80 1423 1650 2
0.10364 0.11824 80 80 1451 1681 1
0.10372 0.11817 80 80 1478 1712 2
0.10369 0.11772 80 80 1504 1742 0
0.10377 0.11792 80 80 1531 1773 1
0.10397 0.11832 80 80 1557 1803 3
0.10329 0.11845 80 80 1584 1834 2
0.10383 0.11883 80 80 1611 1866 0
0.10360 0.11847 80 80 1637 1897 1
0.10372 0.11848 80 80 1664 1929 3
0.10313 0.11838 80 80 1691 1960 1
0.10457 0.11783 80 80 1717 1992 0
0.10299 0.11856 80 80 1744 2023 1
0.14246 0.11832 80 80 1770 2055 3
0.10407 0.11824 80 80 1797 2086 0
0.10381 0.11766 80 80 1823 2118 0
0.10399 0.11785 80 80 1851 2149 1
0.10396 0.11903 80 80 1878 2180 2
0.10423 0.11905 80 80 1905 2212 0
0.10374 0.11909 80 80 1931 2244 3
0.10421 0.11840 80 80 1958 2275 1
0.10313 0.11852 80 80 1986 2307 2
0.10362 0.11785 80 80 2013 2338 0
0.10325 0.11881 80 80 2040 2369 3
0.10321 0.11852 80 80 2066 2401 1
0.10338 0.11823 80 80 2093 2432 2
0.10413 0.11849 80 80 2121 2462 0
0.10419 0.11824 80 80 2148 2493 1
0.10409 0.11897 80 80 2176 2523 0
0.10357 0.11710 80 80 2203 2554 1
0.10324 0.11876 80 80 2229 2586 0
0.10388 0.11841 90 90 0 0 1
0.11781 0.13375 90 90 30 35 2
0.12089 0.13611 90 90 62 70 1
0.12011 0.13516 90 90 94 104 1
0.12056 0.13360 90 90 125 138 0
0.11925 0.13781 90 90 155 172 1
0.12104 0.13492 90 90 187 208 1
0.12152 0.13554 90 90 218 244 1
0.12089 0.13567 90 90 248 280 0
0.12042 0.13573 90 90 278 316 0
0.12006 0.13904 90 90 310 352 1
0.11964 0.13663 90 90 341 388 0
0.12060 0.13856 90 90 371 424 0
0.12048 0.13548 90 90 401 460 0
0.11909 0.13669 90 90 433 496 0
0.12028 0.13712 90 90 464 532 2
0.11984 0.13534 90 90 494 568 0
0.11995 0.13439 90 90 524 604 0
0.11978 0.13556 90 90 556 640 2
0.12061 0.13647 90 90 587 676 2
0.12019 0.13877 90 90 617 712 2
0.12087 0.13562 90 90 647 747 1
0.11964 0.13635 90 90 679 783 1
0.12123 0.13450 90 90 710 819 2
0.12037 0.13562 90 90 740 853 1
0.12377 0.13454 90 90 770 887 1
0.11938 0.13654 90 90 802 923 0
0.11885 0.13868 90 90 833 959 0
0.11980 0.13479 90 90 863 995 1
0.11907 0.13768 90 90 893 1031 1
0.12054 0.13548 90 90 925 1067 0
0.12028 0.13548 90 90 957 1103 0
0.12001 0.13476 90 90 988 1139 0
0.11998 0.13595 90 90 1018 1175 0
0.11977 0.13829 90 90 1050 1211 0
0.12022 0.13573 90 90 1082 1247 0
0.12123 0.13710 90 90 1113 1283 0
0.12067 0.13474 90 90 1143 1319 0
0.11893 0.13560 90 90 1175 1355 0
0.11735 0.13450 90 90 1207 1391 0
0.11829 0.13662 90 90 1238 1427 0
0.12015 0.13883 90 90 1268 1463 1
0.12010 0.13569 90 90 1298 1499 0
0.12088 0.13661 90 90 1330 1535 0
0.11964 0.13507 90 90 1361 1571 0
0.12096 0.13604 90 90 1393 1607 0
0.11974 0.13541 90 90 1423 1643 0
0.12015 0.13653 90 90 1455 1679 0
0.12039 0.13699 90 90 1487 1715 2
0.12020 0.13526 90 90 1518 1751 0
0.12068 0.13727 90 90 1548 1787 0
0.11941 0.13519 90 90 1578 1823 0
0.11993 0.13538 90 90 1610 1859 1
0.11926 0.13514 90 90 1641 1895 0
0.12059 0.13643 90 90 1673 1931 0
0.12021 0.13595 90 90 1703 1967 2
0.12018 0.13577 90 90 1735 2003 0
0.11901 0.13669 90 90 1767 2039 0
0.11707 0.13503 90 90 1798 2075 0
0.11929 0.13541 90 90 1828 2111 2
0.12051 0.13474 90 90 1860 2147 0
0.12025 0.13920 90 90 1892 2183 0
0.11990 0.13608 90 90 1923 2219 2
0.12061 0.13875 90 90 1953 2255 2
0.11994 0.13533 90 90 1983 2290 1
0.11980 0.13666 90 90 2015 2326 2
0.12018 0.13877 90 90 2046 2362 2
0.12049 0.13586 90 90 2076 2396 1
0.12024 0.13499 90 90 2106 2430 1
0.12068 0.13685 90 90 2138 2464 2
0.12007 0.13450 90 90 2170 2498 1
0.12026 0.13516 90 90 2201 2532 1
0.11751 0.13587 90 90 2231 2566 1
0.12032 0.13508 100 100 0 0 2
0.13529 0.15368 100 100 34 37 0
0.13739 0.15207 100 100 68 77 1
0.13572 0.15210 100 100 103 116 2
0.13631 0.15455 100 100 139 156 1
0.13613 0.15196 100 100 175 195 0
0.13536 0.15328 100 100 211 236 2
0.13596 0.15259 100 100 247 276 0
0.13678 0.15463 100 100 283 315 0
0.13581 0.15383 100 100 319 355 1
0.13607 0.15123 100 100 355 394 0
0.13619 0.15311 100 100 389 434 1
0.13693 0.15199 100 100 423 475 0
0.13608 0.15165 100 100 460 515 1
0.13679 0.11036 100 100 496 556 0
0.13605 0.15149 100 100 532 597 0
0.13635 0.15430 100 100 568 637 1
0.13570 0.15213 100 100 604 676 0
0.13668 0.15228 100 100 640 716 1
0.13653 0.14906 100 100 674 757 0
0.13702 0.15601 100 100 708 798 2
0.13756 0.15240 100 100 742 838 0
0.13651 0.15644 100 100 779 877 0
0.13634 0.15230 100 100 815 917 1
0.13718 0.15361 100 100 851 958 0
0.13700 0.15552 100 100 887 998 1
0.13695 0.15367 100 100 921 1037 1
0.13612 0.15258 100 100 955 1078 1
0.13595 0.15253 100 100 989 1118 0
0.13674 0.15517 100 100 1023 1159 2
0.13580 0.15580 100 100 1059 1199 0
0.13700 0.15210 100 100 1096 1238 1
0.13730 0.15246 100 100 1132 1278 1
0.13732 0.15124 100 100 1168 1319 0
0.13516 0.15256 100 100 1202 1359 2
0.13539 0.15554 100 100 1236 1400 0
0.13512 0.15203 100 100 1270 1440 1
0.13572 0.15294 100 100 1304 1479 0
0.13537 0.15402 100 100 1340 1520 2
0.21144 0.15180 100 100 1377 1560 0
0.13529 0.15614 100 100 1413 1599 0
0.13650 0.15237 100 100 1449 1639 1
0.13591 0.15177 100 100 1485 1678 2
0.13671 0.15418 100 100 1519 1718 1
0.13650 0.15138 100 100 1553 1759 0
0.13569 0.15568 100 100 1590 1800 0
0.13691 0.15224 100 100 1626 1840 1
0.13570 0.15161 100 100 1662 1879 2
0.13591 0.15407 100 100 1698 1919 2
0.13603 0.15282 100 100 1734 1960 0
0.13656 0.15338 100 100 1770 2001 2
0.13686 0.15216 100 100 1806 2041 1
0.13713 0.15305 100 100 1840 2080 0
0.13626 0.15302 100 100 1874 2120 1
0.13650 0.15157 100 100 1909 2161 0
0.13625 0.15415 100 100 1945 2201 1
0.13670 0.15216 100 100 1981 2242 0
0.13582 0.15170 100 100 2017 2283 2
0.13751 0.15436 100 100 2053 2323 0
0.13596 0.15515 100 100 2089 2362 2
0.14094 0.15345 100 100 2125 2402 1
0.13580 0.15229 100 100 2159 2441 0
0.13759 0.15204 100 100 2193 2481 2
0.13611 0.15366 100 100 2230 2522 0
0.13699 0.15610 100 100 2266 2562 1
0.13603 0.15231 110 110 0 0 1
0.15201 0.17187 110 110 39 43 1
0.15194 0.16831 110 110 79 86 1
0.15185 0.17052 110 110 119 129 1
0.15375 0.17151 110 110 158 173 2
0.15342 0.16904 110 110 198 218 2
0.15372 0.16931 110 110 239 263 2
0.15612 0.16979 110 110 280 308 0
0.15201 0.16950 110 110 320 353 1
0.15187 0.17009 110 110 358 396 1
0.15325 0.17325 110 110 399 441 1
0.15396 0.16854 110 110 439 485 2
0.15229 0.16677 110 110 478 530 1
0.15305 0.16581 110 110 518 575 1
0.25510 0.16995 110 110 557 620 0
0.15358 0.17131 110 110 597 665 0
0.15285 0.16959 110 110 636 710 0
0.15252 0.16952 110 110 676 753 0
0.15299 0.17531 110 110 715 796 1
0.15155 0.17310 110 110 755 841 1
0.15168 0.16910 110 110 795 885 1
0.15193 0.17269 110 110 834 930 0
0.15364 0.17105 110 110 874 975 2
0.15365 0.16916 110 110 913 1020 1
0.15226 0.17132 110 110 953 1065 0
0.15215 0.16944 110 110 994 1110 0
0.15281 0.16905 110 110 1034 1155 0
0.15263 0.16994 110 110 1075 1200 0
0.15241 0.17348 110 110 1115 1243 0
0.15180 0.16876 110 110 1154 1286 0
0.15325 0.17037 110 110 1194 1329 0
0.15359 0.17099 110 110 1233 1372 0
0.15347 0.16871 110 110 1273 1415 1
0.15343 0.16909 110 110 1312 1458 1
0.15284 0.16699 110 110 1352 1503 0
0.15354 0.17287 110 110 1393 1548 1
0.15299 0.16880 110 110 1433 1591 1
0.15300 0.17046 110 110 1472 1636 0
0.15323 0.17066 110 110 1512 1679 1
0.15099 0.16918 110 110 1551 1722 1
0.15187 0.16892 110 110 1591 1765 1
0.15423 0.16988 110 110 1630 1808 1
0.15295 0.17318 110 110 1670 1852 1
0.15397 0.16973 110 110 1711 1897 0
0.15110 0.17121 110 110 1750 1942 2
0.15160 0.16862 110 110 1790 1987 0
0.15246 0.16972 110 110 1828 2032 0
0.15279 0.17140 110 110 1869 2077 0
0.15290 0.16932 110 110 1907 2122 0
0.15314 0.16956 110 110 1948 2165 0
0.15276 0.16961 110 110 1987 2208 1
0.15386 0.17350 110 110 2027 2253 1
0.15221 0.16949 110 110 2068 2298 0
0.15238 0.17027 110 110 2108 2343 1
0.15258 0.17029 110 110 2149 2388 1
0.15342 0.16564 110 110 2189 2433 0
0.15750 0.16898 110 110 2230 2478 1
0.15347 0.17005 110 110 2270 2521 1
0.15220 0.16944 110 110 2311 2565 0
0.14797 0.16984 120 120 0 0 2
0.16825 0.18729 120 120 43 48 1
0.17105 0.18591 120 120 88 97 0
0.16849 0.18832 120 120 133 147 0
0.16992 0.18763 120 120 177 197 0
0.16483 0.18742 120 120 222 247 1
0.17396 0.19184 120 120 267 297 0
0.16997 0.19127 120 120 312 347 1
0.16938 0.18678 120 120 357 396 1
0.17012 0.18875 120 120 402 444 0
0.16877 0.18605 120 120 445 492 0
0.16994 0.18586 120 120 488 541 1
0.17088 0.18713 120 120 533 589 0
0.16924 0.18699 120 120 578 637 0
0.17000 0.18540 120 120 623 686 1
