ultimaVel velObjetivo errorLeft errorAcumulado kp kd ki pwm ticks
0.18243 0.20000 -0.01757 -0.02769 15.81657 0.10028 0.00000 196 0
0.16301 0.20000 -0.03699 -0.01033 33.29108 -4.66276 0.00000 162 0
0.15608 0.20000 -0.04392 -0.03699 39.52596 0.69872 0.00000 213 0
0.16477 0.20000 -0.03523 -0.04392 31.70769 2.30567 0.00000 215 0
0.06863 0.20000 -0.13137 -0.00325 118.22869 0.33719 0.00000 255 0
0.21137 0.20000 0.01137 -0.13137 -10.22883 -4.24229 0.00000 255 0
0.20233 0.20000 0.00233 0.01137 -2.09590 -0.47018 0.00000 78 0
0.16818 0.20000 -0.03182 0.00233 28.63398 1.38427 0.00000 166 0
0.20260 0.20000 0.00260 0.00551 -2.33655 0.66853 0.00000 132 0
0.19866 0.20000 -0.00134 0.00260 1.20396 1.33541 0.00000 140 0
0.19406 0.20000 -0.00594 -0.00134 5.34271 -3.12568 0.00000 153 0
0.19458 0.20000 -0.00542 -0.00594 4.88100 3.66621 0.00000 156 0
0.19562 0.20000 -0.00438 -0.00542 3.94467 3.64289 0.00000 157 0
0.19767 0.20000 -0.00233 -0.00438 2.09853 0.66810 0.00000 155 0
0.19846 0.20000 -0.00154 -0.00233 1.38761 -3.30328 0.00000 154 0
0.20015 0.20000 0.00015 -0.00154 -0.13592 2.95553 0.00000 149 0
0.20151 0.20000 0.00151 0.00015 -1.36000 -0.01125 0.00000 144 0
0.20004 0.20000 0.00004 0.00151 -0.03976 -6.21710 0.00000 145 0
0.20028 0.20000 0.00028 0.00004 -0.25262 3.14717 0.00000 143 0
0.19909 0.20000 -0.00091 0.00028 0.82112 0.50207 0.00000 145 0
0.19776 0.20000 -0.00224 -0.00091 2.01603 -2.60943 0.00000 149 0
0.19763 0.20000 -0.00237 -0.00224 2.13265 1.66688 0.00000 151 0
0.19853 0.20000 -0.00147 -0.00237 1.32453 2.19156 0.00000 150 0
0.19886 0.20000 -0.00114 -0.00147 1.02282 -0.26045 0.00000 150 0
0.19818 0.20000 -0.00182 -0.00114 1.63666 -3.21297 0.00000 152 0
0.19937 0.20000 -0.00063 -0.00182 0.56690 2.30415 0.00000 149 0
0.19950 0.20000 -0.00050 -0.00063 0.44821 2.15651 0.00000 148 0
0.16746 0.20000 -0.03254 -0.00785 29.28582 -3.31213 0.00000 130 0
0.15668 0.20000 -0.04332 -0.03254 38.99201 -4.93760 0.00000 187 0
0.15979 0.20000 -0.04021 -0.04332 36.19339 2.21715 0.00000 217 0
0.20902 0.20000 0.00902 0.00123 -8.11631 -1.94002 0.00000 144 0
0.20787 0.20000 0.00787 0.00902 -7.07914 -5.37052 0.00000 138 0
0.20663 0.20000 0.00663 0.00787 -5.96627 -1.38238 0.00000 134 0
0.20346 0.20000 0.00346 0.00663 -3.11759 -3.41592 0.00000 135 0
0.19977 0.20000 -0.00023 0.00346 0.20456 -1.87459 0.00000 141 0
0.19821 0.20000 -0.00179 -0.00023 1.60806 4.02758 0.00000 144 0
0.19731 0.20000 -0.00269 -0.00179 2.42214 3.33347 0.00000 147 0
0.19713 0.20000 -0.00287 -0.00269 2.58066 -3.38594 0.00000 149 0
0.19622 0.20000 -0.00378 -0.00287 3.40552 5.06078 0.00000 153 0
0.19733 0.20000 -0.00267 -0.00378 2.40514 2.76769 0.00000 153 0
