velocidadLeft velocidadRight pwmLeft pwmRight posLeft posRight velocidadObjetivo ticksSinAct
0.17370 0.17479 123 110 1189 1197 0.17000 0
0.17118 0.16934 123 111 1234 1241 0.17000 0
0.16466 0.17474 126 110 1279 1286 0.17000 1
0.17206 0.17233 124 110 1324 1331 0.17000 1
0.17465 0.17028 124 110 1370 1374 0.17000 1
0.17673 0.17279 122 110 1415 1418 0.17000 1
0.17398 0.17226 123 109 1459 1463 0.17000 0
0.16698 0.17253 125 109 1504 1508 0.17000 2
0.17136 0.16978 124 110 1548 1551 0.17000 2
0.17348 0.16999 123 110 1594 1594 0.17000 0
0.17587 0.17202 122 109 1640 1639 0.17000 0
0.17152 0.17274 123 109 1684 1684 0.17000 2
0.17262 0.16954 123 110 1729 1727 0.17000 1
0.17353 0.17059 123 109 1775 1772 0.17000 0
0.17567 0.17216 121 108 1821 1817 0.17000 1
0.17026 0.17172 122 108 1865 1861 0.17000 0
0.17341 0.17166 122 108 1911 1905 0.17000 1
0.16662 0.16687 124 109 1955 1948 0.17000 0
0.17149 0.16365 123 111 2001 1992 0.17000 1
0.17501 0.16962 121 110 2047 2037 0.17000 1
0.16152 0.16754 125 110 2092 2081 0.17000 2
0.17328 0.16852 123 110 2139 2124 0.17000 0
0.17269 0.16613 123 111 2183 2168 0.17000 1
0.17118 0.16967 120 110 0 0 0.22000 0
0.20655 0.20814 161 150 56 57 0.22000 0
0.22509 0.23039 158 145 116 118 0.22000 1
0.22849 0.23369 157 144 176 180 0.22000 1
0.22999 0.23134 157 144 236 239 0.22000 0
0.22848 0.23490 157 143 295 300 0.22000 1
0.22842 0.22942 157 143 354 358 0.22000 0
0.22808 0.23303 156 142 413 417 0.22000 1
0.22922 0.23069 156 141 472 477 0.22000 0
0.22953 0.22987 155 142 531 536 0.22000 1
0.22930 0.22721 155 141 589 594 0.22000 1
0.23115 0.22600 154 141 647 652 0.22000 1
0.22843 0.22558 154 141 705 710 0.22000 1
0.22457 0.22869 155 141 763 768 0.22000 1
0.22845 0.22618 154 140 823 825 0.22000 1
0.22793 0.22401 153 141 883 883 0.22000 0
0.22831 0.22358 153 141 942 941 0.22000 1
0.22380 0.22043 154 140 998 997 0.22000 0
0.22287 0.22115 153 140 1056 1055 0.22000 0
0.22168 0.22740 153 139 1113 1113 0.22000 1
0.22320 0.22625 153 139 1172 1170 0.22000 0
0.22307 0.21742 153 141 1230 1227 0.22000 0
0.21810 0.22211 154 140 1286 1285 0.22000 0
0.21943 0.22399 154 140 1343 1344 0.22000 0
0.22161 0.21684 154 142 1401 1402 0.22000 0
0.22527 0.22505 152 140 1459 1461 0.22000 0
0.21899 0.22385 154 140 1515 1519 0.22000 0
0.21886 0.22390 155 140 1572 1577 0.22000 0
0.22403 0.22367 154 140 1630 1635 0.22000 1
0.22466 0.22134 154 140 1688 1692 0.22000 1
0.22612 0.22326 152 139 1746 1751 0.22000 1
0.22441 0.22317 153 139 1804 1809 0.22000 0
0.22353 0.21753 153 140 1862 1865 0.22000 0
0.22437 0.22039 152 139 1920 1923 0.22000 0
0.22731 0.22157 151 139 1978 1981 0.22000 0
0.22188 0.22359 152 139 2035 2039 0.22000 1
0.22413 0.22082 151 139 2093 2096 0.22000 0
0.21836 0.20666 152 144 2149 2156 0.22000 1
0.21645 0.22720 153 140 2205 2217 0.22000 0
0.21645 0.22483 153 140 2261 2275 0.22000 1
0.22023 0.21940 153 142 2319 2332 0.22000 1
0.22464 0.22566 152 139 2378 2390 0.22000 0
0.22391 0.22301 152 140 2436 2448 0.22000 0
0.22359 0.22225 152 140 2494 2506 0.22000 0
0.21658 0.22251 153 140 2551 2564 0.22000 1
0.22466 0.22529 152 139 2609 2621 0.22000 0
0.21750 0.21786 153 141 2665 2678 0.22000 0
0.22110 0.21992 152 141 2723 2735 0.22000 0
0.22077 0.22097 152 140 2780 2793 0.22000 1
