go
GO!
vlineal vlinealLeft vlinealRight vEncoderLeft vEncoderRight pwmLeft pwmRight posLeft posRight
parar en radianes: 
2.99
parar en 0.39663145
0.29444
2.20833
vlineal vlinealLeft vlinealRight vEncoderLeft vEncoderRight pwmLeft pwmRight posLeft posRight
0.20400 0.30033 0.10767 0.32084 0.10189 199 67 623 241
0.20400 0.30033 0.10767 0.29686 0.10107 200 68 631 244
0.20400 0.30033 0.10767 0.29688 0.10161 200 67 640 247
0.20400 0.30033 0.10767 0.27428 0.10190 202 68 649 250
0.20400 0.30033 0.10767 0.29598 0.10259 202 68 657 253
0.20400 0.30033 0.10767 0.31995 0.12433 200 67 667 257
0.20400 0.30033 0.10767 0.29665 0.10309 200 67 675 260
0.20400 0.30033 0.10767 0.29633 0.10291 202 66 684 263
0.20400 0.30033 0.10767 0.29751 0.10340 202 66 693 267
0.20400 0.30033 0.10767 0.29801 0.10282 202 68 701 270
0.20400 0.30033 0.10767 0.27499 0.12536 202 65 710 273
0.20400 0.30033 0.10767 0.29687 0.10309 202 66 717 277
0.20400 0.30033 0.10767 0.27441 0.10286 202 67 727 280
0.20400 0.30033 0.10767 0.29811 0.12550 202 65 736 283
0.20400 0.30033 0.10767 0.32189 0.10279 199 66 746 286
0.20400 0.30033 0.10767 0.29875 0.12574 199 64 753 289
0.20400 0.30033 0.10767 0.27640 0.10298 202 65 763 293
0.20400 0.30033 0.10767 0.32235 0.10323 199 66 772 296
0.20400 0.30033 0.10767 0.29828 0.12488 199 64 782 300
0.20400 0.30033 0.10767 0.29828 0.10305 197 65 790 303
0.20400 0.30033 0.10767 0.29865 0.12481 197 63 799 306
0.20400 0.30033 0.10767 0.29800 0.10259 200 64 807 309
0.20400 0.30033 0.10767 0.29550 0.10216 201 65 816 312
0.20400 0.30033 0.10767 0.29537 0.12377 202 63 825 316
0.20400 0.30033 0.10767 0.27517 0.10151 202 64 833 319
0.20400 0.30033 0.10767 0.29824 0.10098 202 66 842 322
0.20400 0.30033 0.10767 0.29864 0.12213 202 64 851 325
0.20400 0.30033 0.10767 0.29861 0.10139 202 65 859 328
0.20400 0.30033 0.10767 0.32182 0.10155 199 66 869 331
0.20400 0.30033 0.10767 0.29845 0.10131 199 67 878 334
0.20400 0.30033 0.10767 0.32185 0.12356 197 66 888 338
0.20400 0.30033 0.10767 0.29695 0.10093 197 66 896 341
0.20400 0.30033 0.10767 0.31973 0.10086 196 68 906 344
0.20400 0.30033 0.10767 0.29521 0.12253 196 66 914 347
0.20400 0.30033 0.10767 0.29481 0.10153 197 67 922 351
0.20400 0.30033 0.10767 0.29508 0.10164 201 68 931 354
0.20400 0.30033 0.10767 0.29657 0.12296 201 67 940 357
0.20400 0.30033 0.10767 0.29760 0.10174 202 68 948 360
0.20400 0.30033 0.10767 0.29781 0.10132 202 69 957 363
0.20400 0.30033 0.10767 0.29837 0.10205 202 68 966 366
0.20400 0.30033 0.10767 0.29804 0.10228 202 68 974 370
0.20400 0.30033 0.10767 0.29820 0.10297 202 69 983 373
0.20400 0.30033 0.10767 0.27544 0.12501 202 67 992 376
